0:18:9:695:302:89,0:18:9:771:797:485
0:19:9:724:239:446,0:19:9:787:512:325
0:20:10:36:706:133,0:20:10:196:190:783
0:21:10:146:871:376,0:21:10:218:108:377
0:22:10:556:352:39,0:22:10:825:261:993
0:23:10:983:528:441,0:23:11:245:685:777
0:24:11:392:56:830,0:24:11:663:505:503
0:25:11:808:610:262,0:25:12:75:909:447
0:26:12:138:293:755,0:26:12:289:132:428
0:27:12:498:814:160,0:27:12:583:903:298
0:28:12:860:695:696,0:28:13:125:630:284
0:29:13:194:193:750,0:29:13:336:952:220
0:30:13:295:239:797,0:30:13:350:121:164
0:31:13:713:95:680,0:31:13:964:415:757
0:32:14:130:508:316,0:32:14:380:948:406
0:33:14:450:441:483,0:33:14:496:463:537
0:34:14:768:813:918,0:34:14:907:300:977
0:35:15:181:222:696,0:35:15:427:869:347
0:36:15:400:611:3,0:36:15:441:665:202
0:37:15:813:237:193,0:37:16:54:430:309
0:38:16:229:463:476,0:38:16:470:675:721
0:39:16:647:128:79,0:39:16:887:402:136
0:40:16:862:201:929,0:40:16:897:824:126
0:41:17:279:249:1,0:41:17:515:663:20
0:42:17:694:380:460,0:42:17:932:127:957
0:43:18:113:661:987,0:43:18:349:200:174
0:44:18:531:247:68,0:44:18:765:132:809
0:45:18:879:337:212,0:45:18:977:161:370
0:46:18:955:586:564,0:46:18:987:417:968
0:47:19:370:493:371,0:47:19:605:60:572
0:48:19:787:307:996,0:48:20:30:254:91
0:49:20:204:708:22,0:49:20:438:158:748
0:50:20:602:529:227,0:50:20:650:743:877
0:51:20:631:61:299,0:51:20:667:326:923
0:52:21:46:435:321,0:52:21:279:128:54
0:53:21:462:807:289,0:53:21:695:124:523
0:54:21:879:588:21,0:54:22:111:68:501
0:55:22:398:892:923,0:55:22:527:416:903
0:56:22:511:646:617,0:56:22:543:272:753
0:57:22:849:243:898,0:57:22:950:828:561
0:58:22:935:735:173,0:58:22:965:177:137
0:59:23:356:272:30,0:59:23:580:165:786
