3:19:15:359:224:728,3:19:15:373:245:673
3:19:35:386:269:117,3:19:35:392:194:402
3:19:55:417:80:59,3:19:55:422:566:295
3:20:15:438:659:72,3:20:15:445:860:497
3:20:35:469:221:214,3:20:35:474:643:223
3:20:55:520:375:901,3:20:55:525:903:429
3:21:15:550:209:716,3:21:15:556:303:731
3:21:35:589:389:459,3:21:35:595:575:562
3:21:55:615:702:222,3:21:55:622:227:580
3:22:15:645:179:318,3:22:15:650:578:974
3:22:35:675:606:253,3:22:35:682:644:308
3:22:55:707:463:82,3:22:55:713:561:334
3:23:15:735:682:444,3:23:15:741:378:690
3:23:35:771:273:180,3:23:35:777:411:785
3:23:55:802:264:497,3:23:55:808:873:0
3:24:15:829:429:311,3:24:15:839:196:359
3:24:35:873:76:660,3:24:35:911:585:183
3:24:55:901:95:558,3:24:55:907:729:52
3:25:15:927:975:659,3:25:15:934:893:313
3:25:35:942:148:83,3:25:35:948:361:897
3:25:55:973:239:184,3:25:55:979:627:365
3:26:16:27:351:301,3:26:16:40:370:85
3:26:36:70:347:302,3:26:36:76:657:564
3:26:56:117:871:419,3:26:56:123:528:382
3:27:16:179:740:136,3:27:16:226:302:139
3:27:36:209:561:743,3:27:36:216:737:504
3:27:56:237:835:855,3:27:56:245:568:352
3:28:16:272:309:24,3:28:16:278:642:88
3:28:36:305:804:433,3:28:36:311:564:889
3:28:56:335:867:533,3:28:56:341:871:768
3:29:16:363:408:820,3:29:16:371:36:794
3:29:36:443:676:495,3:29:36:449:798:199
3:29:56:477:557:193,3:29:56:483:816:12
3:30:16:530:824:424,3:30:16:537:808:963
3:30:36:563:515:446,3:30:36:572:548:348
3:30:56:595:613:925,3:30:56:601:656:638
3:31:16:628:22:366,3:31:16:635:840:174
3:31:36:658:668:484,3:31:36:665:351:401
3:31:56:690:955:947,3:31:56:697:650:706
3:32:16:721:206:219,3:32:16:727:799:186
3:32:36:753:746:736,3:32:36:760:253:812
3:32:56:782:387:639,3:32:56:789:402:704
3:33:16:812:792:577,3:33:16:822:739:248
3:33:36:840:450:462,3:33:36:846:917:919
3:33:56:868:700:922,3:33:56:874:664:173
3:34:16:896:267:884,3:34:16:902:293:69
3:34:36:926:325:873,3:34:36:932:189:820
3:34:56:956:518:312,3:34:56:962:859:630
3:35:16:987:30:806,3:35:16:994:553:326
3:35:37:14:595:790,3:35:37:21:55:209
3:35:57:50:901:206,3:35:57:57:479:701
3:36:17:78:593:548,3:36:17:84:243:382
3:36:37:112:977:774,3:36:37:118:560:875
3:36:57:145:22:290,3:36:57:150:712:338
3:37:17:172:826:215,3:37:17:177:462:545
3:37:37:198:424:315,3:37:37:204:838:83
3:37:57:228:203:169,3:37:57:234:155:78
3:38:17:251:63:422,3:38:17:255:617:78
3:38:37:280:877:946,3:38:37:286:887:647
3:38:57:316:312:244,3:38:57:320:540:792
3:39:17:345:645:430,3:39:17:352:301:92
3:39:37:374:955:548,3:39:37:378:903:782
3:39:57:404:474:816,3:39:57:413:280:391
3:40:17:431:351:592,3:40:17:435:348:395
3:40:37:457:763:249,3:40:37:461:469:256
3:40:57:488:567:703,3:40:57:492:367:815
3:41:17:520:981:730,3:41:17:524:611:35
3:41:37:551:270:718,3:41:37:562:480:881
3:41:57:581:508:570,3:41:57:584:778:47
3:42:17:613:508:482,3:42:17:617:876:441
3:42:37:656:853:596,3:42:37:660:826:596
3:42:57:692:200:768,3:42:57:695:190:452
3:43:17:723:111:166,3:43:17:727:322:831
3:43:37:770:92:704,3:43:37:779:15:746
3:43:57:798:847:927,3:43:57:802:25:535
3:44:17:828:830:678,3:44:17:832:983:16
3:44:37:862:916:201,3:44:37:866:48:601
3:44:57:894:434:876,3:44:57:898:577:506
3:45:17:926:420:447,3:45:17:928:550:397
3:45:37:954:63:356,3:45:37:956:153:920
3:45:58:26:987:422,3:45:58:29:797:239
3:46:18:87:62:428,3:46:18:89:516:420
3:46:38:117:483:408,3:46:38:119:629:416
3:46:58:147:488:790,3:46:58:151:669:909
3:47:18:174:673:23,3:47:18:178:311:432
3:47:38:205:122:362,3:47:38:207:422:620
3:47:58:238:978:980,3:47:58:289:97:474
3:48:18:336:512:240,3:48:18:340:326:689
3:48:38:367:504:15,3:48:38:370:164:27
3:48:58:381:372:214,3:48:58:385:424:725
3:49:18:408:805:3,3:49:18:415:186:664
3:49:38:438:190:872,3:49:38:440:100:59
3:49:58:469:604:764,3:49:58:472:10:933
3:50:18:512:944:618,3:50:18:515:447:723
3:50:38:541:186:56,3:50:38:543:299:815
3:50:58:569:104:363,3:50:58:570:865:186
3:51:18:590:761:120,3:51:18:592:3:196
3:51:38:620:632:279,3:51:38:621:930:380
3:51:58:651:291:262,3:51:58:653:855:191
3:52:18:680:542:677,3:52:18:681:781:603
3:52:38:712:808:905,3:52:38:715:412:917
3:52:58:743:679:948,3:52:58:745:682:815
3:53:18:777:455:470,3:53:18:779:319:268
3:53:38:805:27:110,3:53:38:806:677:40
3:53:58:842:9:530,3:53:58:843:832:443
3:54:18:860:276:722,3:54:18:861:289:604
3:54:38:887:846:43,3:54:38:889:819:417
3:54:58:916:610:235,3:54:58:918:146:248
3:55:18:946:54:492,3:55:18:947:862:485
3:55:38:978:404:608,3:55:38:985:753:903
3:55:59:5:527:63,3:55:59:6:720:720
3:56:19:32:919:882,3:56:19:34:193:514
3:56:39:62:535:979,3:56:39:63:268:161
3:56:59:91:930:482,3:56:59:93:343:312
